Sport,Years,,,,
Archery,1900,1920, since 1972,,
Artistic swimming,Since 1984,,,,
Athletics,All,,,,
Badminton,Since 1992,,,,
Baseball,1992鈥?008,2020,,,
Basketball,Since 1936,,,,
Basque pelota,1900,,,,
Boxing,1904,1908, since 1920,,
Canoeing,Since 1936,,,,
Cricket,1900,,,,
Croquet,1900,,,,
Cycling,All,,,,
Diving,Since 1904,,,,
Equestrian,1900, since 1912,,,
Fencing,All,,,,
Field hockey,1908,1920, since 1928,,
Football,1900鈥?928, since 1936,,,
Golf,1900,1904, since 2016,,
Gymnastics,All,,,,
Handball,1936, since 1972,,,
Jeu de paume,1908,,,,
Judo,1964, since 1972,,,
Karate,2020,,,,
Lacrosse,1904,1908,,,
Modern pentathlon,Since 1912,,,,
Ping-pong,,,,,
Polo,1900,1908,1920,1924,1936
Rackets,1908,,,,
Roque,1904,,,,
Rowing,Since 1900,,,,
Rugby union,1900,1908,1920,1924,
Rugby sevens,Since 2016,,,,
Sailing,1900, since 1908,,,
Shooting,1896,1900, 1908鈥?924, since 1932,
Skateboarding,2020,,,,
Softball,1996鈥?008,2020,,,
Sport climbing,2020,,,,
Surfing,2020,,,,
Swimming,All,,,,
Table tennis,Since 1988,,,,
Taekwondo,Since 2000,,,,
Tennis,1896鈥?924, since 1988,,,
Triathlon,Since 2000,,,,
Tug of war,1900鈥?920,,,,
Volleyball,Since 1964,,,,
Water motorsports,1908,,,,
Water polo,Since 1900,,,,
Weightlifting,1896,1904, since 1920,,
Wrestling,1896, since 1904,,,
Alpine skiing,Since 1936,,,,
Biathlon,Since 1960[i],,,,
Bobsleigh,Since 1924 (except 1960),,,,
Cross-country skiing,Since 1924,,,,
Curling,1924, since 1998,,,
Figure skating,Since 1924,,,,
Freestyle skiing,Since 1992,,,,
Ice hockey,Since 1924,,,,
Luge,Since 1964,,,,
Nordic combined,Since 1924,,,,
Short track speed skating,Since 1992,,,,
Skeleton,1928,1948, Since 2002,,
Ski jumping,Since 1924,,,,
Snowboarding,Since 1998,,,,
Speed skating,Since 1924,,,,
Archery,All,,,,
Athletics,All,,,,
Badminton,All,,,,
Basketball,All,,,,
Beach handball,Since 2018,,,,
Beach volleyball,Since 2014,,,,
Boxing,All,,,,
Breakdancing,Since 2018,,,,
Canoeing,All,,,,
Cycling,All,,,,
Diving,All,,,,
Equestrian,All,,,,
Fencing,All,,,,
Field hockey,All,,,,
Football,2010鈥?014,,,,
Futsal,Since 2018,,,,
Golf,Since 2014,,,,
Gymnastics,All,,,,
Handball,2010鈥?014,,,,
Judo,All,,,,
Karate,Since 2018,,,,
Modern pentathlon,All,,,,
Roller speed skating,2018,,,,
Rowing,All,,,,
Rugby sevens,Since 2014,,,,
Sailing,All,,,,
Shooting,All,,,,
Skateboarding,2026,,,,
Sport climbing,Since 2018,,,,
Surfing,2026,,,,
Swimming,All,,,,
Table tennis,All,,,,
Taekwondo,All,,,,
Tennis,All,,,,
Triathlon,All,,,,
Volleyball,2010,,,,
Weightlifting,All,,,,
Wrestling,All,,,,
Alpine skiing,All,,,,
Biathlon,All,,,,
Bobsleigh,All,,,,
Cross-country skiing,All,,,,
Curling,All,,,,
Figure skating,All,,,,
Freestyle skiing,All,,,,
Ice hockey,All,,,,
Luge,All,,,,
Nordic combined,All,,,,
Short track speed skating,All,,,,
Skeleton,All,,,,
Ski jumping,All,,,,
Ski mountaineering,Only 2020,,,,
Snowboarding,All,,,,
Speed skating,All,,,,
